"Tract ID","STATE2KX","CNTY2KX","TRACT2KX","e(0)","se(e(0))","Abridged life table flag"
25001010100,25,001,010100,78.7,1.561,3
25001010206,25,001,010206,82.2,2.2168,3
25001010304,25,001,010304,79,2.2124,3
25001010306,25,001,010306,80.3,1.7483,3
25001010400,25,001,010400,82.2,1.4437,3
25001010500,25,001,010500,81.9,1.3901,3
25001010600,25,001,010600,80.6,1.1637,3
25001010700,25,001,010700,80.2,1.7431,3
25001010800,25,001,010800,79.4,1.177,3
25001010900,25,001,010900,81.3,1.971,3
25001011002,25,001,011002,77,1.0273,3
25001011100,25,001,011100,79.3,1.2483,3
25001011200,25,001,011200,80.3,1.357,3
25001011300,25,001,011300,78.8,1.7843,3
25001011400,25,001,011400,81.4,0.9469,2
25001011500,25,001,011500,84.1,1.9576,3
25001011600,25,001,011600,75.8,1.416,3
25001011700,25,001,011700,79.9,3.5607,3
25001011801,25,001,011801,84.9,2.2065,3
25001011802,25,001,011802,79.5,1.3706,2
25001012001,25,001,012001,80.5,1.1772,3
25001012002,25,001,012002,76.4,1.8422,3
25001012101,25,001,012101,78.4,1.7085,3
25001012102,25,001,012102,77.2,1.3245,3
25001012200,25,001,012200,84.4,2.2158,3
25001012502,25,001,012502,81.5,2.2096,3
25001012601,25,001,012601,79,1.3224,3
25001012602,25,001,012602,74.9,1.4753,3
25001012700,25,001,012700,79.3,1.4014,3
25001012900,25,001,012900,81,1.5039,3
25001013002,25,001,013002,84.3,1.4398,3
25001013100,25,001,013100,81.9,1.4298,3
25001013200,25,001,013200,83.4,1.7221,3
25001013300,25,001,013300,82.4,1.6033,3
25001013400,25,001,013400,83.7,1.6524,3
25001013500,25,001,013500,83.6,1.538,3
25001013600,25,001,013600,78.7,1.2032,3
25001013800,25,001,013800,83.3,2.2081,3
25001013900,25,001,013900,80.5,1.1322,3
25001014002,25,001,014002,87.3,2.676,3
25001014402,25,001,014402,81.4,1.9022,3
25001014500,25,001,014500,80.5,1.4123,3
25001014600,25,001,014600,81,1.2325,3
25001014700,25,001,014700,79.8,1.2517,3
25001014800,25,001,014800,75.5,1.4447,3
25001014900,25,001,014900,84.3,1.3227,3
25001015001,25,001,015001,80.7,1.4999,3
25001015002,25,001,015002,79,1.6588,3
25001015100,25,001,015100,81.3,1.9749,3
25001015200,25,001,015200,79.9,3.4978,3
25001015300,25,001,015300,69.9,3.8187,3
25003900100,25,003,900100,71,1.7416,3
25003900200,25,003,900200,73.1,2.2603,3
25003900300,25,003,900300,73.9,1.7957,3
25003900400,25,003,900400,80.9,1.7782,3
25003900500,25,003,900500,75.9,1.0459,3
