"Next Generation Accountability, 2018-19"

"FallOfYear","RptngDistrictName","ReportingDistrictCode","SchoolName","SchoolCode","SchoolOrgType","SchoolLowGrade","SchoolHighGrade","SchoolTitleIType","Category","TotalPoints","TotalPossiblePoints","OutcomeRatePct","FinalCategory","AchievementGapFlag","Ind1ELA_All_Rate","Ind1ELA_All_Points","Ind1ELA_All_PossiblePoints","Ind1ELA_HN_Rate","Ind1ELA_NHN_Rate","Ind1ELA_HN_Points","Ind1ELA_HN_PossiblePoints","Ind1Math_All_Rate","Ind1Math_All_Points","Ind1Math_All_PossiblePoints","Ind1Math_NHN_Rate","Ind1Math_HN_Rate","Ind1Math_HN_Points","Ind1Math_HN_PossiblePoints","Ind1Sci_All_Rate","Ind1Sci_All_Points","Ind1Sci_All_PossiblePoints","Ind1Sci_HN_Rate","Ind1Sci_NHN_Rate","Ind1Sci_HN_Points","Ind1Sci_HN_PossiblePoints","Ind1ELAGap","Ind1MathGap","Ind1SciGap","Ind2ELA_All_Rate","Ind2ELA_All_Points","Ind2ELA_All_Possiblepoints","Ind2Math_All_Rate","Ind2Math_All_Points","Ind2Math_All_Possiblepoints","Ind2ELA_HN_Rate","Ind2ELA_NHN_Rate","Ind2ELA_HN_Points","Ind2ELA_HN_Possiblepoints","Ind2Math_HN_Rate","Ind2Math_NHN_Rate","Ind2Math_HN_Points","Ind2Math_HN_Possiblepoints","Ind2LEP_LTCY_Rate","Ind2LEP_LTCY_Points","Ind2LEP_LTCY_PossiblePoints","Ind2LEP_ORAL_Rate","Ind2LEP_ORAL_Points","Ind2LEP_ORAL_PossiblePoints","Ind3PartRateFlag","Ind3ELA_All_Rate","Ind3ELA_HN_Rate","Ind3ELA_NHN_Rate","Ind3Math_All_Rate","Ind3Math_HN_Rate","Ind3Math_NHN_Rate","Ind3Sci_All_Rate","Ind3Sci_HN_Rate","Ind3Sci_NHN_Rate","Ind4Rate","Ind4Points","Ind4PossiblePoints","Ind4HNRate","Ind4HNPoints","Ind4HNPossiblePoints","Ind5Rate","Ind5Points","Ind5PossiblePoints","Ind6Rate","Ind6Points","Ind6PossiblePoints","Ind7Rate","Ind7points","Ind7PointsPossible","Ind8Rate","Ind8Points","Ind8PointsPossible","GradGapFlag","Ind9Rate","Ind9Points","Ind9PointsPossible","Ind10Rate","Ind10Points","Ind10PossiblePoints","Ind11FitnessRate","Ind11ParticipationRate","Ind11Points","Ind11PossiblePoints","Ind12Rate","Ind12Points","Ind12PossiblePoints","Grad6YrRateHN","Grad6YrRateNHN","Grad6YrHNNHNDiff","Hurdle_Mean_ELA","Hurdle_Mean_Math","Hurdle_Mean_Sci","Hurdle_Means_Grad","CategoryDropFlag","Support","SupportCategory","Distinction","DistinctionCategory","Perform","ELA_ALL_YN","Math_ALL_YN","ELA_HN_YN","Math_HN_YN","Improve","SupportType","schoolyear"
2018.000000,"Bridgeport School District","=""0150011""","District","=""0000000""","District","District","District",,"DistrictTot",887.217700,1450.000000,61.187428,".",0.000000,54.307438,36.204958,50.000000,52.315898,63.412596,34.877265,50.000000,46.399853,30.933235,50.000000,54.813437,44.559283,29.706189,50.000000,48.663267,32.442178,50.000000,46.902612,55.517813,31.268408,50.000000,11.090000,10.250000,8.610000,0.533821,53.382088,100.000000,0.526153,52.615276,100.000000,0.524439,0.575998,52.443914,100.000000,0.517944,0.563010,51.794437,100.000000,0.538753,26.937668,50.000000,0.460031,23.001547,50.000000,0.000000,0.986917,0.985509,0.993600,0.986245,0.984923,0.992521,0.974776,0.972418,0.984412,0.188397,22.320617,50.000000,0.208208,18.358472,50.000000,0.547272,36.484798,50.000000,0.168680,11.245314,50.000000,0.713309,37.941987,50.000000,0.751037,79.897590,100.000000,0.000000,0.731310,77.798951,100.000000,0.604000,80.592593,100.000000,0.523036,0.971992,34.869046,50.000000,0.385214,32.101167,50.000000,0.731310,".",".",15.389535,17.608319,16.064023,11.115401,".",,,,,".",".",".",".",".",".",,"2018-19"
2018.000000,"Brookfield School District","=""0180011""","District","=""0000000""","District","District","District",,"DistrictTot",1229.002363,1450.000000,84.758784,".",0.000000,72.999046,48.666030,50.000000,62.753655,75.000000,41.835770,50.000000,70.562890,47.041926,50.000000,75.000000,61.299163,40.866109,50.000000,70.584307,47.056205,50.000000,61.342723,75.000000,40.895148,50.000000,12.240000,13.700000,13.650000,0.650321,65.032112,100.000000,0.767450,76.745034,100.000000,0.577086,0.682142,57.708571,100.000000,0.738935,0.779769,73.893522,100.000000,0.791595,39.579732,50.000000,0.627933,31.396662,50.000000,0.000000,0.963483,0.955010,0.967914,0.961376,0.950920,0.966845,0.968647,0.970732,0.967581,0.046959,50.000000,50.000000,0.083028,43.394383,50.000000,0.947242,50.000000,50.000000,0.683453,45.563549,50.000000,0.956989,50.000000,50.000000,0.962264,100.000000,100.000000,0.000000,0.901961,95.953275,100.000000,0.865000,100.000000,100.000000,0.500615,0.985455,33.374334,50.000000,0.602958,50.000000,50.000000,0.901961,0.940000,0.038039,15.389535,17.608319,16.064023,11.115401,".",,,,,".",".",".",".",".",".",,"2018-19"
2018.000000,"Eastford School District","=""0390011""","District","=""0000000""","District","District","District",,"DistrictTot",607.318271,800.000000,75.914784,".",0.000000,71.095335,47.396890,50.000000,66.505220,75.000000,44.336813,50.000000,69.862830,46.575220,50.000000,74.345657,64.614641,43.076427,50.000000,63.388733,42.259155,50.000000,".",66.355951,".",".",8.490000,9.730000,".",0.536271,53.627131,100.000000,0.677232,67.723199,100.000000,0.537483,0.535122,53.748272,100.000000,0.674404,0.679915,67.440412,100.000000,".",".",".",".",".",".",0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,".",1.000000,0.041096,50.000000,50.000000,0.044118,50.000000,50.000000,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.617021,0.940000,41.134752,50.000000,".",".",".",".",".",".",15.389535,17.608319,16.064023,".",".",,,,,".",".",".",".",".",".",,"2018-19"
2018.000000,"East Haddam School District","=""0410011""","District","=""0000000""","District","District","District",,"DistrictTot",1109.746333,1350.000000,82.203432,".",0.000000,73.938707,49.292471,50.000000,65.331518,75.000000,43.554345,50.000000,67.616929,45.077953,50.000000,72.274796,58.801193,39.200796,50.000000,67.636979,45.091319,50.000000,59.688701,70.836285,39.792468,50.000000,9.660000,13.470000,11.140000,0.663152,66.315208,100.000000,0.664353,66.435277,100.000000,0.639393,0.675548,63.939293,100.000000,0.643841,0.675015,64.384140,100.000000,".",".",".",".",".",".",0.000000,0.992453,1.000000,0.988406,0.983019,0.989189,0.979710,0.995575,1.000000,0.993750,0.041965,50.000000,50.000000,0.067873,46.425339,50.000000,0.980769,50.000000,50.000000,0.506410,33.760684,50.000000,1.000000,50.000000,50.000000,0.928571,98.784195,100.000000,0.000000,0.913043,97.132285,100.000000,0.556000,74.074074,100.000000,0.547297,0.942675,36.486486,50.000000,0.690625,50.000000,50.000000,0.913043,0.940000,0.026957,15.389535,17.608319,16.064023,11.115401,".",,,,,".",".",".",".",".",".",,"2018-19"
2018.000000,"Ellington School District","=""0480011""","District","=""0000000""","District","District","District",,"DistrictTot",1173.431429,1450.000000,80.926305,".",1.000000,73.156119,48.770746,50.000000,60.155918,75.000000,40.103945,50.000000,70.453718,46.969146,50.000000,75.000000,56.537383,37.691589,50.000000,72.302272,48.201515,50.000000,61.279906,75.000000,40.853271,50.000000,14.840000,18.460000,13.720000,0.595010,59.500951,100.000000,0.681508,68.150831,100.000000,0.561111,0.607307,56.111062,100.000000,0.627203,0.700966,62.720297,100.000000,0.787070,39.353495,50.000000,0.655631,32.781549,50.000000,0.000000,0.990155,0.978417,0.995025,0.990155,0.978417,0.995025,0.986949,0.964706,0.995485,0.075465,44.907091,50.000000,0.160167,27.966574,50.000000,0.945596,50.000000,50.000000,0.531088,35.405872,50.000000,0.957245,50.000000,50.000000,0.966851,100.000000,100.000000,0.000000,0.914286,97.264438,100.000000,0.757000,100.000000,100.000000,0.550186,0.986553,36.679058,50.000000,0.600000,50.000000,50.000000,0.914286,0.940000,0.025714,15.389535,17.608319,16.064023,11.115401,".",,,,,".",".",".",".",".",".",,"2018-19"
2018.000000,"Canaan School District","=""0210011""","District","=""0000000""","District","District","District",,"DistrictTot",329.162630,450.000000,73.147251,".",0.000000,76.292077,50.000000,50.000000,".",75.000000,".",".",66.500680,44.333786,50.000000,72.727651,".",".",".",".",".",".",".",".",".",".",".",".",".",0.643348,64.334786,100.000000,0.673568,67.356802,100.000000,".",0.656022,".",".",".",0.686694,".",".",".",".",".",".",".",".",0.000000,0.977273,".",1.000000,0.977273,".",1.000000,".",".",".",0.117647,36.470588,50.000000,0.200000,20.000000,50.000000,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.700000,1.000000,46.666667,50.000000,".",".",".",".",".",".",15.389535,17.608319,16.064023,".",".",,,,,".",".",".",".",".",".",,"2018-19"
2018.000000,"Canterbury School District","=""0220011""","District","=""0000000""","District","District","District",,"DistrictTot",652.786505,900.000000,72.531834,".",0.000000,70.098170,46.732114,50.000000,64.084458,74.568891,42.722972,50.000000,63.587092,42.391394,50.000000,67.574173,58.176053,38.784035,50.000000,66.702935,44.468623,50.000000,59.291191,72.034190,39.527461,50.000000,10.480000,9.390000,12.740000,0.564071,56.407063,100.000000,0.604077,60.407720,100.000000,0.526515,0.590094,52.651471,100.000000,0.579833,0.620685,57.983299,100.000000,".",".",".",".",".",".",0.000000,0.992780,0.983871,1.000000,0.989170,0.975806,1.000000,1.000000,1.000000,1.000000,0.065116,46.976744,50.000000,0.071429,45.714286,50.000000,".",".",".",".",".",".",0.973684,50.000000,50.000000,".",".",".",".",".",".",".",".",".",".",0.420290,0.958333,28.019324,50.000000,".",".",".",".",".",".",15.389535,17.608319,16.064023,".",".",,,,,".",".",".",".",".",".",,"2018-19"
2018.000000,"Canton School District","=""0230011""","District","=""0000000""","District","District","District",,"DistrictTot",1112.904942,1350.000000,82.437403,".",1.000000,75.546047,50.000000,50.000000,60.258571,75.000000,40.172381,50.000000,72.454809,48.303206,50.000000,75.000000,56.107960,37.405307,50.000000,74.021354,49.347570,50.000000,60.077941,75.000000,40.051961,50.000000,14.740000,18.890000,14.920000,0.606007,60.600699,100.000000,0.651440,65.144004,100.000000,0.448115,0.657667,44.811507,100.000000,0.486288,0.705601,48.628760,100.000000,".",".",".",".",".",".",1.000000,0.985799,0.968326,0.991987,0.983432,0.963801,0.990385,0.980501,0.946809,0.992453,0.055082,48.983607,50.000000,0.123288,35.342466,50.000000,0.757447,50.000000,50.000000,0.672340,44.822695,50.000000,0.974895,50.000000,50.000000,0.948276,100.000000,100.000000,0.000000,0.933333,99.290780,100.000000,0.864000,100.000000,100.000000,0.800830,0.958250,50.000000,50.000000,0.678208,50.000000,50.000000,0.933333,0.940000,0.006667,15.389535,17.608319,16.064023,11.115401,".",,,,,".",".",".",".",".",".",,"2018-19"
2018.000000,"North Stonington School District","=""1020011""","District","=""0000000""","District","District","District",,"DistrictTot",1001.104552,1250.000000,80.088364,".",0.000000,79.562489,50.000000,50.000000,67.476096,75.000000,44.984064,50.000000,77.878016,50.000000,50.000000,75.000000,65.461684,43.641123,50.000000,79.690189,50.000000,50.000000,69.364097,75.000000,46.242731,50.000000,7.520000,9.530000,5.630000,0.667467,66.746725,100.000000,0.687797,68.779701,100.000000,0.537023,0.693331,53.702319,100.000000,0.525732,0.719931,52.573229,100.000000,".",".",".",".",".",".",0.000000,0.989848,1.000000,0.987539,0.989848,1.000000,0.987539,1.000000,1.000000,1.000000,0.072753,45.449358,50.000000,0.154362,29.127517,50.000000,0.697917,46.527778,50.000000,0.531250,35.416667,50.000000,0.965217,50.000000,50.000000,0.933333,99.290780,100.000000,0.000000,".",".",".",0.689000,91.851852,100.000000,0.411765,1.025862,27.450980,50.000000,0.591837,49.319728,50.000000,".",".",".",15.389535,17.608319,16.064023,11.115401,".",,,,,".",".",".",".",".",".",,"2018-19"
2018.000000,"Newington School District","=""0940011""","District","=""0000000""","District","District","District",,"DistrictTot",1143.375258,1450.000000,78.853466,".",0.000000,67.817122,45.211415,50.000000,60.979137,73.257854,40.652758,50.000000,65.265885,43.510590,50.000000,71.014557,58.001213,38.667475,50.000000,63.355922,42.237282,50.000000,57.961651,67.719709,38.641100,50.000000,12.270000,13.010000,9.750000,0.534803,53.480251,100.000000,0.634753,63.475298,100.000000,0.518392,0.545969,51.839218,100.000000,0.592616,0.663318,59.261634,100.000000,0.746670,37.333494,50.000000,0.515099,25.754972,50.000000,0.000000,0.996400,0.994077,0.998346,0.993699,0.989141,0.997519,0.981308,0.986301,0.977143,0.056698,48.660311,50.000000,0.095561,40.887793,50.000000,0.823256,50.000000,50.000000,0.519380,34.625323,50.000000,0.958904,50.000000,50.000000,0.950495,100.000000,100.000000,0.000000,0.904348,96.207216,100.000000,0.753000,100.000000,100.000000,0.493937,0.958172,32.929130,50.000000,0.629317,50.000000,50.000000,0.904348,0.940000,0.035652,15.389535,17.608319,16.064023,11.115401,".",,,,,".",".",".",".",".",".",,"2018-19"
